,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Qiyməti,Yerlərin sayı,Sahiblər,Hansı bazar üçün yığılıb
0,Bakı,Hyundai,Sonata,2014,Sedan,Qara,2.4 L/178 a.g./Benzin,123 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",23 900 AZN,5.0,1.0,Avropa
1,Bakı,Fiat,Fiorino,2022,Minivan,Ağ,1.4 L/77 a.g./Qaz,0 km,Mexaniki,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",30 400 AZN,5.0,1.0,Avropa
2,Bakı,Lexus,ES 300h,2022,Sedan,Ağ,2.5 L/215 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",63 500 USD,5.0,1.0,Avropa
3,Bakı,Nissan,Tiida,2012,Hetçbek,Qızılı,1.5 L/110 a.g./Benzin,36 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 300 AZN,5.0,1.0,Yaponiya
4,Bakı,BMW,520,2014,Sedan,Ağ,2.0 L/245 a.g./Benzin,126 500 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",38 500 AZN,4.0,1.0,Rəsmi diler
5,Bakı,Mercedes,C 300,2016,Sedan,Qara,2.0 L/245 a.g./Benzin,80 300 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",26 900 USD,5.0,1.0,Amerika
6,Bakı,Hyundai,Sonata,2007,Sedan,Ağ,2.0 L/165 a.g./Benzin,201 168 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 500 AZN,4.0,2.0,Rəsmi diler
7,Bakı,BMW,750,2010,Sedan,Qara,4.4 L/407 a.g./Hibrid,150 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",16 000 USD,5.0,1.0,Avropa
8,Bakı,Honda,CR-V,2008,Offroader / SUV,Ağ,2.4 L/170 a.g./Benzin,240 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",19 950 AZN,5.0,2.0,Yaponiya
9,Bakı,BMW,528,2015,Sedan,Ağ,2.0 L/245 a.g./Benzin,88 300 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",23 800 USD,5.0,1.0,Avropa
10,Bakı,Nissan,Juke,2012,Offroader / SUV,Göy,1.6 L/200 a.g./Benzin,140 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",19 500 AZN,5.0,1.0,Amerika
11,Bakı,BMW,330,2019,Sedan,Boz,2.0 L/249 a.g./Benzin,50 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",37 999 USD,5.0,2.0,Avropa
12,Lənkəran,Toyota,Highlander,2022,Offroader / SUV,Ağ,2.5 L/249 a.g./Hibrid,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",67 900 USD,5.0,0.0,Rəsmi diler
13,Bakı,BMW,328,2014,Sedan,Qara,2.0 L/245 a.g./Benzin,160 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",18 800 USD,5.0,0.0,Avropa
14,Lənkəran,Toyota,Camry,2022,Sedan,Qara,2.5 L/218 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",41 900 USD,5.0,0.0,Rəsmi diler
15,Bakı,Toyota,Prius,2008,Liftbek,Göy,1.5 L/75 a.g./Hibrid,240 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",13 500 AZN,4.0,1.0,Avropa
16,Sumqayıt,Mercedes,E 220,2007,Universal,Qara,2.2 L/170 a.g./Dizel,227 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",21 400 AZN,5.0,1.0,Avropa
17,Lənkəran,Toyota,Prado,2022,Offroader / SUV,Qara,2.7 L/167 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",60 900 USD,5.0,1.0,Avropa
18,Lənkəran,Toyota,Land Cruiser,2022,Offroader / SUV,Qara,3.5 L/415 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",124 900 USD,5.0,0.0,Avropa
19,Sumqayıt,Opel,Zafira,2005,Minivan,Qara,2.2 L/125 a.g./Benzin,324 949 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",12 600 AZN,7.0,0.0,Avropa
20,Bakı,Porsche,Cayenne,2008,Offroader / SUV,Ağ,3.6 L/290 a.g./Benzin,185 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",27 500 AZN,5.0,1.0,Avropa
21,Sumqayıt,LADA (VAZ),Niva,2014,Offroader / SUV,Ağ,1.7 L/80 a.g./Benzin,67 000 km,Mexaniki,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 500 AZN,5.0,0.0,Rusiya
22,Lənkəran,Toyota,Prado,2022,Offroader / SUV,Ağ,2.8 L/200 a.g./Dizel,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",68 900 USD,7.0,1.0,Rəsmi diler
23,Lənkəran,Toyota,Corolla Cross,2022,Offroader / SUV,Göy,2.0 L/199 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",33 500 USD,5.0,0.0,Rəsmi diler
24,Sumqayıt,Toyota,Vitz,2012,Hetçbek,Qara,1.3 L/95 a.g./Benzin,50 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 700 AZN,5.0,1.0,Yaponiya
25,Lənkəran,Toyota,Prado,2022,Offroader / SUV,Ağ,2.7 L/167 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",60 900 USD,5.0,1.0,Avropa
26,Sumqayıt,Hyundai,Santa Fe,2013,Offroader / SUV,Qara,2.0 L/265 a.g./Benzin,179 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",31 500 AZN,5.0,2.0,Amerika
27,Sumqayıt,Mercedes,B 170,2010,Hetçbek,Qara,1.7 L/116 a.g./Benzin,84 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",15 000 AZN,5.0,1.0,Rəsmi diler
28,Bakı,Toyota,Highlander,2022,Offroader / SUV,Qara,2.5 L/249 a.g./Hibrid,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",67 500 USD,7.0,1.0,Rəsmi diler
29,Sumqayıt,Lexus,IS 200,2017,Sedan,Ağ,2.0 L/245 a.g./Benzin,97 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",27 300 USD,5.0,1.0,Avropa
30,Bakı,Hyundai,Matrix,2007,Minivan,Gümüşü,1.5 L/102 a.g./Dizel,265 745 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",10 600 AZN,5.0,1.0,Avropa
31,Bakı,Hyundai,Santa Fe,2010,Offroader / SUV,Gümüşü,2.0 L/184 a.g./Dizel,195 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",23 900 AZN,7.0,1.0,Koreya
32,Lənkəran,Toyota,Land Cruiser,2022,Offroader / SUV,Ağ,3.5 L/415 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",124 900 USD,5.0,0.0,Avropa
33,Sumqayıt,BMW,320,2002,Sedan,Gümüşü,2.2 L/170 a.g./Benzin,245 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",12 300 AZN,5.0,1.0,Avropa
34,Bakı,Toyota,RAV 4,2022,Offroader / SUV,Qara,2.0 L/173 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",36 800 USD,5.0,1.0,Rəsmi diler
35,Lənkəran,Toyota,Corolla,2022,Sedan,Qara,1.6 L/124 a.g./Benzin,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",27 200 USD,5.0,0.0,Avropa
36,Bakı,Changan,CS 85,2022,Offroader / SUV,Ağ,2.0 L/233 a.g./Benzin,5 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",56 900 AZN,5.0,1.0,Avropa
37,Bakı,Haval,H6,2022,Offroader / SUV,Mavi,1.5 L/243 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",58 900 AZN,5.0,1.0,Rəsmi diler
38,Bakı,Mitsubishi,Outlander,2022,Offroader / SUV,Yaş Asfalt,2.5 L/181 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",40 900 USD,7.0,1.0,Avropa
39,Bakı,Geely,Okavango,2022,Offroader / SUV,Ağ,1.5 L/190 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",47 900 AZN,5.0,1.0,Avropa
